## Van Noten et al. JOSE - Electronic Supplement S2 - Results of the HVSR Survey south of Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nr: number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Date: date of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Name: ID name of measurement (A, B, C are measured with different Citysharks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easting: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Northing: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lon: longitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lat:latitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Gain: amplification gain on Cityshark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ovmx: allowed saturation percentage (in %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rec. time: recording time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SR: Sampling rate (in Hz) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Start time: starting time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#End time: End time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Filename: Filenumber of raw ambient noise data file (available upon request),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 min: f0_win/stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_win: average resonance frequency by taking the f0 of each individual window and averaging all f0 values from these windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 average: scanning the average curve and identifying the frequency at which the maximum amplitude occurs (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip: resonance frequency computed after interpolating the HV-Amplitude graph using python (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip_diff: difference between f0_ip and f0 average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#error: standard deviation on f0 (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 max: f0_win.stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A0: maximum amplitude (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nw: number of windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Geology: Cover geology of the location (see paper for abbreviations; al = alluvium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Group: Group number of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BM: Stratigraphy of bedrock of the Brabant Massif (pTu: Tubize Formation; pBl: Blanmont Formation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_max: maximum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_freq: Resonance frequency at A_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_Azi: Azimuth at which resonance frequency is maximum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_min: minimum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_fre q:  Azimuth at which resonance frequency is minimal (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_Azi: Azimuth at which resonance frequency is minimum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nr,Date,Name,Easting,Northing,lat,lon,Z (DEM),Gain,Ovmx,Rec. time,SR,Start time,End time,Filename,f0 min,f0_win,f0 average,f0_ip,f0_ip_diff,error,f0 max,A0,nw,Geology,Region,BM,Th_indiv,Top_indiv,Th_all,Top_all,diff,borehole,A_max,max_freq,max_Azi,A_min,min_freq,min_Azi
14,25/07/2017,A215,149793.2837,162181.2479,50.77012371,4.365820657,99.28,512,5,00:20,100,13:11,13:31,170725_1311.215,0.95,1,0.985,0.986,-0.014,0.05,1.05,8.425,18,Br,R3,PTu,90.71,8.57,90.76,8.52,-0.05,,7.53677,0.997989,10,6.93826,0.971174,90
15,25/07/2017,A216,149873.9997,162361.9998,50.77174863,4.366964869,92.71,512,5,00:20,100,13:40,14:00,170725_1340.216,0.918,0.982,0.985,0.969,-0.013,0.064,1.046,7.556,21,Br,R3,PTu,93.33,-0.62,93.46,-0.75,-0.12,,6.76981,0.951536,60,6.21191,0.997989,160
16,25/07/2017,A217,150013.4841,162519.9583,50.77316863,4.368942328,95.01,512,5,00:20,100,14:11,14:31,170725_1411.217,0.803,0.907,0.801,0.965,-0.09,0.104,1.012,5.679,24,Br,R3,PTu,93.97,1.04,94.11,0.9,-0.14,,6.96355,0.833221,10,5.26958,0.958038,110
17,25/07/2017,A218,150535.2941,162814.656,50.77581758,4.376340576,98.09,512,5,00:20,100,14:40,15:00,170725_1440.218,0.81,0.891,0.935,0.949,0.058,0.081,0.972,5.224,8,Br,R3,PTu,96.58,1.51,96.79,1.3,-0.21,,5.95694,0.816373,20,4.79524,0.967873,100
18,25/07/2017,A219,150194.9997,162768.0001,50.7753984,4.371515867,93.61,512,5,00:20,100,15:16,15:36,170725_1516.219,0.874,0.942,0.935,0.933,-0.009,0.068,1.01,8.448,22,Br,R3,PTu,99.31,-5.7,99.6,-5.99,-0.29,,8.21884,0.927978,10,6.79325,0.927978,100
19,25/07/2017,A220,149718.9997,162543.0006,50.77337573,4.364767361,82.67,256,5,00:20,100,15:49,16:09,170725_1549.220,0.906,1.049,1.092,1.079,0.03,0.142,1.191,3.701,17,Br,R3,PTu,78.23,4.44,77.98,4.69,0.25,,3.92193,0.816373,10,3.40708,0.967873,60
20,25/07/2017,A221,149879.9997,162845.9999,50.77609964,4.367049835,106.56,512,5,00:20,100,16:16,16:36,170725_1616.221,0.823,0.899,0.935,0.936,0.037,0.076,0.975,7.519,24,Ld,R3,PTu,98.79,7.77,99.07,7.49,-0.27,,6.52709,0.960413,70,6.30147,0.927978,160
21,31/07/2017,A222,149581.8875,162015.4298,50.76863296,4.362824019,89.27,256,5,00:20,100,10:13,10:33,170731_1013.222,0.843,0.899,0.935,0.93,0.03,0.056,0.956,8.524,24,Br,R3,PTu,99.84,-10.57,100.14,-10.87,-0.3,,8.62978,0.935475,150,8.19343,0.932296,60
22,31/07/2017,A223,149527.8763,162339.03,50.77154199,4.362057997,92.91,256,5,00:20,100,10:46,11:06,170731_1046.223,0.951,1.002,0.985,0.983,-0.02,0.052,1.054,8.291,22,Br,R3,PTu,91.16,1.75,91.23,1.68,-0.07,,6.85709,0.967873,50,6.2674,1.01512,120
23,31/07/2017,A224,149425.876,162197.3637,50.77026837,4.360612173,97.9,256,5,00:20,100,11:16,11:36,170731_1116.224,0.922,0.961,0.985,0.963,0.002,0.039,1,11.357,37,Br,R3,PTu,94.29,3.61,94.44,3.46,-0.15,,11.8771,0.951536,170,10.1911,0.974486,90
24,31/07/2017,A225,149345.7773,161971.9654,50.76824203,4.359477041,101.64,512,5,00:20,100,11:48,12:08,170731_1148.225,0.907,0.954,0.935,0.946,-0.008,0.047,1.002,12.164,32,Br,R3,PTu,97.08,4.56,97.31,4.33,-0.23,,11.8452,0.951536,170,11.0413,0.967873,80
25,31/07/2017,A226,149208.2045,162379.4797,50.7719053,4.357526033,91.99,256,5,00:20,100,12:21,12:41,170731_1221.226,0.934,0.986,0.985,0.983,-0.003,0.052,1.038,11.823,34,Br,R3,PTu,91.16,0.83,91.23,0.76,-0.07,,11.0469,0.98449,30,10.0871,0.967873,120
26,31/07/2017,A227,148994.6649,162536.4908,50.77331647,4.354498324,74.22,256,5,00:30,100,13:00,13:30,170731_1300.227,0.915,0.975,0.985,0.993,0.018,0.059,1.034,7.287,26,Br,R3,PTu,89.66,-15.44,89.69,-15.47,-0.03,,7.53581,0.882869,20,5.89245,0.994597,130
27,31/07/2017,A228,148993.4846,162314.0674,50.77131695,4.354482167,80.69,256,5,00:20,100,13:41,14:01,170731_1341.228,0.916,1.059,1.053,1.054,-0.004,0.143,1.202,4.158,32,Br,R3,PTu,81.3,-0.61,81.12,-0.43,0.18,,4.99578,1.01512,170,4.27313,1.02554,70
28,31/07/2017,A229,148807.871,162438.6161,50.77243627,4.351850411,85.92,256,5,00:20,100,14:09,14:29,170731_1409.229,0.985,1.033,1.037,1.039,0.006,0.047,1.08,9.403,31,Br,R3,PTu,83.24,2.68,83.1,2.82,0.13,,9.35456,1.05028,150,8.93157,1.03607,60
29,31/07/2017,A230,148627.1965,162437.0713,50.772422,4.349289006,79.28,512,5,00:20,100,14:35,14:55,170731_1435.230,0.899,0.959,0.985,0.966,0.007,0.059,1.018,8.714,18,Br,R3,PTu,93.81,-14.53,93.94,-14.66,-0.14,,8.45723,0.951536,50,7.30288,1.00481,160
30,31/07/2017,A231,148485.4207,162253.7435,50.7707736,4.347279787,88.14,512,5,00:20,100,15:00,15:20,170731_1500.231,0.936,0.961,0.935,0.959,-0.002,0.025,0.986,10.708,21,Br,R3,PTu,94.93,-6.79,95.1,-6.96,-0.17,,10.5282,0.951536,10,8.85376,0.964583,90
31,31/07/2017,A232,148652.378,162273.6879,50.77095329,4.349646576,94.82,256,5,00:20,100,15:25,15:45,170731_1525.232,0.978,1.024,1.037,1.026,0.002,0.046,1.07,9.184,19,Br,R3,PTu,84.98,9.84,84.88,9.94,0.09,,9.35832,0.954781,30,7.80081,0.98449,110
32,31/07/2017,A233,148284.6641,162313.9046,50.77131389,4.344433502,89.34,256,5,00:20,100,15:52,16:12,170731_1552.233,0.961,0.985,0.985,0.986,0.001,0.024,1.009,10.281,19,Br,R3,PTu,90.71,-1.37,90.76,-1.42,-0.05,,9.73387,0.98449,20,8.76509,0.997989,130
33,31/07/2017,A234,148453.8623,162100.0687,50.76939203,4.346833024,95.35,256,5,00:20,100,16:20,16:40,170731_1620.234,0.903,0.923,0.935,0.923,0,0.021,0.944,13.659,24,Br,R3,PTu,101.09,-5.74,101.43,-6.08,-0.34,,6.32283,1.11666,10,5.51052,1.13583,90
34,02/08/2017,A235,146338.6202,161289.4308,50.76209536,4.316855238,98,512,5,00:20,100,09:41,10:01,170802_0941.235,1.095,1.226,1.211,1.215,-0.012,0.131,1.358,9.162,35,Br,R3,PBl,64.39,33.61,63.86,34.14,0.52,75.11,6.8121,1.03255,30,6.20486,1.05028,110
35,02/08/2017,A236,148648.3045,162670.8839,50.77452395,4.349587427,69.38,256,5,00:20,100,10:27,10:47,170802_1027.236,1.086,1.13,1.14,1.131,0.001,0.044,1.175,7.268,14,Br_Al,R2,PTu,71.47,-2.09,72.05,-2.67,-0.58,,6.39162,1.13197,120,5.96075,1.06468,70
36,02/08/2017,A237,148989.3102,162028.1496,50.76874663,4.354423732,86.6,256,5,00:20,100,10:58,11:18,170802_1058.237,0.867,0.906,0.935,0.913,0.007,0.039,0.945,10.446,19,Br,R3,PTu,102.91,-16.31,103.3,-16.7,-0.39,,9.38331,0.901089,30,8.07503,0.901089,110
37,02/08/2017,A238,148702.686,161998.8599,50.76848278,4.350360696,98.56,256,5,00:20,100,11:28,11:48,170802_1128.238,0.896,0.919,0.935,0.92,0,0.023,0.942,14.165,15,Br,R3,PTu,101.63,-3.07,101.98,-3.42,-0.36,,14.0358,0.901089,10,9.52458,0.932296,100
38,02/08/2017,A239,148356.9557,162517.2684,50.77314227,4.345457473,87.71,512,5,00:20,100,11:57,12:17,170802_1157.239,0.975,0.998,0.985,0.999,0.001,0.023,1.022,16.395,23,Br,R3,PTu,88.78,-1.07,88.78,-1.07,0,,15.3646,1.01512,130,12.9564,0.98449,20
39,02/08/2017,A240,148147.5551,162519.7358,50.77316384,4.342488758,76.95,256,5,00:20,100,12:26,12:46,170802_1226.240,0.978,1.049,1.092,1.089,0.039,0.071,1.12,9.583,16,Br,R3,PTu,77.06,-0.11,76.78,0.17,0.28,,9.372,1.09781,70,7.47774,1.10155,140
40,02/08/2017,A241,147694.6681,162399.8994,50.77208497,4.33606884,78.17,256,5,00:30,100,13:08,13:38,170802_1308.241,1.115,1.141,1.15,1.138,-0.003,0.027,1.168,19.366,27,Br,R3,PBl,71.69,6.48,71.3,6.87,0.39,,19.6549,1.13197,170,16.5861,1.1514,80
41,02/08/2017,A242,147858.9176,162505.7448,50.7730371,4.338396778,78.61,256,5,00:30,100,13:54,14:24,170802_1354.242,1.043,1.093,1.092,1.085,-0.008,0.05,1.143,11.437,14,Br,R3,PTu,77.53,1.08,77.26,1.35,0.27,,10.5199,1.06831,60,9.96492,1.08665,140
42,02/08/2017,A243,148082.123,162655.7234,50.77438612,4.341560428,61.9,128,5,00:20,100,14:43,15:03,170802_1443.243,0.912,1.112,1.15,1.142,0.03,0.2,1.312,4.922,39,KoMo,R1,PTu,70.22,-8.32,70.88,-8.98,-0.66,,5.40315,1.17117,100,4.71194,1.13197,10
43,02/08/2017,A244,148105.5448,162221.6923,50.77048439,4.341894661,83.87,256,5,00:20,100,15:13,15:33,170802_1513.244,1.016,1.045,1.037,1.046,0.001,0.029,1.074,14.296,14,Br,R3,PTu,82.33,1.54,82.17,1.7,0.16,,10.7598,1.07195,150,9.80644,1.08296,50
44,02/08/2017,A245,148297.1995,162063.5517,50.76906333,4.344612332,100.21,256,5,00:20,100,15:39,15:59,170802_1539.245,0.92,0.939,0.935,0.94,0,0.02,0.959,14.462,25,Ld,R3,PTu,98.1,2.11,98.36,1.85,-0.26,,16.8893,0.932296,0,13.2118,0.935475,80
45,02/08/2017,A246,148046.1308,162079.6765,50.76920752,4.341053119,87.19,256,5,00:20,100,16:10,16:30,170802_1610.246,1.046,1.079,1.037,1.062,-0.017,0.033,1.113,10.869,13,Br,R3,PBl,80.3,6.89,80.1,7.09,0.2,,10.5202,1.05028,150,8.96695,1.08296,70
46,02/08/2017,A247,147745.1441,161971.6486,50.76823532,4.336786988,83.24,256,5,00:20,100,16:36,16:56,170802_1636.247,1.089,1.129,1.15,1.122,-0.007,0.04,1.169,9.348,11,Br,R3,PBl,73.37,9.87,73.02,10.22,0.35,,7.99254,1.16719,0,7.04577,1.18319,110
47,03/08/2017,A248,147599.6252,162150.9928,50.769847,4.334723018,60.08,128,5,00:20,100,08:04,08:24,170803_0804.248,1.219,1.251,1.275,1.258,0.007,0.032,1.283,10.301,24,KoMo,R1,PBl,59.79,0.29,60.23,-0.15,-0.44,,10.1803,1.26422,10,7.90513,1.26422,90
48,03/08/2017,A249,147759.8204,162248.9956,50.77072864,4.336993388,56.56,128,5,00:20,100,08:38,08:58,170803_0838.249,1.336,1.38,1.354,1.375,-0.006,0.044,1.425,5.567,11,KoMo_Al,R2,PBl,50.92,5.64,51.86,4.7,-0.94,,5.8133,1.36973,70,4.83638,1.33293,120
49,03/08/2017,A250,147420.3653,162262.3104,50.77084696,4.332181038,52.38,256,5,00:20,100,09:07,09:27,170803_0907.250,1.403,1.444,1.45,1.447,0.003,0.041,1.485,5.64,15,KoMo_Al,R2,PBl,46.61,5.77,47.59,4.79,-0.98,,5.17279,1.36973,0,4.89557,1.41717,60
50,03/08/2017,A251,147441.6115,161968.3213,50.76820418,4.332484232,61.16,256,5,00:20,100,09:33,09:53,170803_0933.251,1.423,1.47,1.489,1.463,-0.007,0.047,1.518,5.737,12,KoMo_Al,R2,PBl,45.73,15.43,46.72,14.44,-0.99,,5.5228,1.46625,160,4.04417,1.4366,70
51,03/08/2017,A252,146958.3421,162370.8648,50.77182064,4.325630307,76.04,128,5,00:20,100,10:08,10:28,170803_1008.252,1.025,1.045,1.037,1.046,0.001,0.02,1.064,16.135,28,Br,R3,PBl,82.33,-6.29,82.17,-6.13,0.16,,14.882,1.05028,0,13.2912,1.05028,100
52,03/08/2017,A253,147144.1061,162231.3055,50.77056697,4.328264897,73.27,256,5,00:20,100,10:37,10:57,170803_1037.253,1.069,1.097,1.092,1.099,0.002,0.027,1.124,16.671,26,Br,R3,PBl,75.91,-2.64,75.61,-2.34,0.3,,15.1138,1.10155,20,11.6489,1.11666,110
53,03/08/2017,A254,147218.6024,161961.9577,50.76814597,4.329322977,75.08,256,5,00:20,100,11:06,11:26,170803_1106.254,1.188,1.226,1.211,1.228,0.002,0.038,1.264,10.703,13,Br,R3,PBl,63.27,11.81,62.73,12.35,0.54,,9.69923,1.24943,130,8.72767,1.19942,50
54,03/08/2017,A255,147306.1974,161601.9832,50.76491031,4.330567269,88.52,256,5,00:20,100,11:33,11:53,170803_1133.255,1.255,1.298,1.308,1.289,-0.009,0.043,1.341,6.25,4,Br,R3,PBl,58.43,30.09,57.81,30.71,0.62,,4.00002,1.36508,10,3.49082,1.50161,120
55,03/08/2017,A256,147520.4506,161564.6924,50.76457601,4.333604483,90.48,256,5,00:20,100,12:12,12:32,170803_1212.256,0.978,0.994,0.994,0.997,0.003,0.016,1.01,10.353,10,Br,R3,PBl,89.07,1.41,89.08,1.4,-0.01,,7.48977,1.29711,130,6.70702,1.24096,60
56,03/08/2017,A257,147416.2187,161775.6898,50.76647237,4.332125593,68.52,256,5,00:20,100,12:57,13:17,170803_1257.257,1.194,1.235,1.222,1.233,-0.002,0.04,1.275,6.915,10,Br,R3,PBl,62.85,5.67,62.3,6.22,0.55,,6.8854,1.21586,50,5.25356,1.23674,130
57,03/08/2017,A258,147630.4141,161754.1915,50.76628,4.335161978,64.22,256,5,00:20,100,13:26,13:46,170803_1326.258,1.3,1.342,0.959,1.357,0.398,0.166,1.508,3.73,26,Br_Al,R2,PBl,52.1,12.12,53.02,11.2,-0.92,,4.33549,1.3512,140,4.044,1.40277,50
58,03/08/2017,A259,147876.1794,161746.0359,50.76620761,4.338645768,92.94,256,5,00:20,100,13:58,14:18,170803_1358.259,1.059,1.097,1.092,1.092,-0.006,0.038,1.136,10.248,23,Br,R3,PBl,76.71,16.23,76.43,16.51,0.28,,9.75388,1.08296,30,8.3097,1.10155,120
59,03/08/2017,A260,147145.2809,161222.6097,50.7614991,4.328289212,95.03,256,5,00:20,100,14:29,14:49,170803_1429.260,1.042,1.07,1.092,1.069,-0.001,0.028,1.098,8.572,15,Br,R3,PTu,79.44,15.59,79.22,15.81,0.22,,8.69932,1.05028,0,5.96898,1.1514,90
